Compound,Date,Media,Negative,Neutral,Positive,Tweet Count,Tweet Text
-0.34,Mon Jan 29 03:55:20 +0000 2018,@CBS,0.112,0.888,0.0,193,"RT @CBSNews: .@HillaryClinton makes an appearance at #Grammys during a reading of ""Fire and Fury."" The book details President Trump's first…"
0.0572,Mon Jan 29 03:53:06 +0000 2018,@CBS,0.062,0.864,0.073,194,You don't want to miss a moment of The #GRAMMYs. Watch now on CBS and CBS All Access: https://t.co/rtZ7sSGFOC https://t.co/oVvgF0CNLr
0.6114,Mon Jan 29 03:50:25 +0000 2018,@CBS,0.0,0.688,0.312,195,"RT @TheSaraNoH: Thank you @RecordingAcad for helping to keep music in schools! 

#GRAMMYs"
0.5994,Mon Jan 29 03:49:19 +0000 2018,@CBS,0.0,0.606,0.394,196,RT @pawprintedzoe: Music is a beautiful thing #Grammys
0.4588,Mon Jan 29 03:46:27 +0000 2018,@CBS,0.0,0.727,0.273,197,What was your favorite #GRAMMY moment from tonight? https://t.co/x3q4ZhltV9
0.8118,Mon Jan 29 03:45:43 +0000 2018,@CBS,0.0,0.749,0.251,198,24K Magic is in the air at the 60th Annual #GRAMMYs! @BrunoMars wins Record Of The Year! See all of the winners her… https://t.co/jGaqsvQt7W
0.6696,Mon Jan 29 03:37:35 +0000 2018,@CBS,0.0,0.522,0.478,199,RT @CBSTweet: Cute family alert! @pink 💕 #GRAMMYs https://t.co/isveVC8aoJ
0.0,Mon Jan 29 03:37:27 +0000 2018,@CBS,0.0,1.0,0.0,200,"Slay all day, @sza! #GRAMMYs https://t.co/h1oCVMZE55"
-0.6705,Thu Feb 15 04:21:37 +0000 2018,@CNN,0.2,0.8,0.0,201,"At least 17 people were killed in a shooting at Marjory Stoneman Douglas High School in Parkland, Florida, authorit… https://t.co/zFf1Bl6bBf"
-0.7184,Thu Feb 15 03:57:28 +0000 2018,@CNN,0.316,0.684,0.0,202,"US personnel suffered ""symptoms resembling brain injury"" in Cuba, according to a new study https://t.co/BXUZe8MVe3 https://t.co/99hZZQNsNy"
0.0,Thu Feb 15 03:49:12 +0000 2018,@CNN,0.0,1.0,0.0,203,"""Some of my classmates did not know if they were leaving the school alive.""

Two students who attend Marjory Stonem… https://t.co/zVurhwdUXo"
-0.4939,Thu Feb 15 03:38:32 +0000 2018,@CNN,0.138,0.862,0.0,204,"CNN's Don Lemon on the shooting at a high school in Florida: ""This is a sickness that has infected this country. ..… https://t.co/J7PhrTiloU"
0.0,Thu Feb 15 03:33:00 +0000 2018,@CNN,0.0,1.0,0.0,205,"RT @CNNTonight: .@DonLemon says the facts don't tell the full story about the Florida school shooting: ""This is a sickness that has infecte…"
0.0,Thu Feb 15 03:13:13 +0000 2018,@CNN,0.0,1.0,0.0,206,"Mitt Romney delays his scheduled announcement about the Utah Senate race, citing the school shooting in Parkland, F… https://t.co/mbHX0qXCHo"
-0.3182,Thu Feb 15 03:10:22 +0000 2018,@CNN,0.156,0.754,0.09,207,A Stoneman Douglas High School student says thinking of family is important during dangerous situations. She recent… https://t.co/vCuVuR7ZZg
0.0,Thu Feb 15 03:04:17 +0000 2018,@CNN,0.0,1.0,0.0,208,"""They weren't partisan. They weren't shot because of how they feel about the Second Amendment or who they voted for… https://t.co/KhgyZ4zRtP"
0.0,Thu Feb 15 03:01:18 +0000 2018,@CNN,0.0,1.0,0.0,209,"RT @AC360: Officials are examining the Florida school shooting suspect's digital profile, which contained what Broward County Sheriff descr…"
0.0,Thu Feb 15 02:57:51 +0000 2018,@CNN,0.0,1.0,0.0,210,"Marjory Stoneman Douglas High School teacher Melissa Falkowski recounts fitting 19 students, plus herself, in a cla… https://t.co/0rLcavM8wC"
-0.6597,Thu Feb 15 02:45:37 +0000 2018,@CNN,0.196,0.804,0.0,211,"RT @AC360: Florida Gov. Rick Scott called the school shooting ""pure evil"" and ordered flags at half-staff https://t.co/HhPmB4OuN0 https://t…"
-0.3182,Thu Feb 15 02:35:05 +0000 2018,@CNN,0.108,0.892,0.0,212,"Florida Gov. Rick Scott said he will visit shooting victims at the hospital tonight.

""This is just absolutely pure… https://t.co/0e0fkARnAA"
-0.296,Thu Feb 15 02:33:05 +0000 2018,@CNN,0.109,0.891,0.0,213,"Robert Runcie, superintendent for Broward County Public Schools: ""No parent should ever have to send their kids to… https://t.co/NmGk6MPQZ9"
